,Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,geom,city
412194,Pla a de Llevant s n Sant Mart 08019 Barcelona Spain,488,12/11/2015,8.2,Hotel SB Diagonal Zero Barcelona 4 Sup, Ireland , A bit far from city centre to walk,9,4645, Location is excellent close to metro meant we could travel to the airport by train 5min easy walk from barceloneta station to estatio de Franca easy trip into gothic quarter to Jaume 1 fantastic shopping centre across the road Lovely stylish hotel with lovely staff Would definitely stay there again,51,1,10.0,"[' Leisure trip ', ' Family with older children ', ' Deluxe Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",601 day,41.4111652,2.2192012,"41.4111652,2.2192012",Barcelona
363464,Lancaster Gate Westminster Borough London W2 3LG United Kingdom,452,7/3/2017,7.6,Corus Hotel Hyde Park, United Kingdom , Overly expensive for what was essentially a broom cupboard over 200 for a single room and breakfast was an additional 20 Room was like sauna too Shame as great location,31,2562, Someone gave me an orange juice at check in,10,3,5.0,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']",31 days,51.5119446,-0.17993900000000002,"51.5119446,-0.17993900000000002",City of Westminster
183292,41 54 Buckingham Gate Westminster Borough London SW1E 6AF United Kingdom,1299,12/22/2016,8.7,St James Court A Taj Hotel London, United Kingdom , Nothing ,3,5394, Friendly helpful staff We stayed in an Executive King Size room The bed was wonderfully comfortable the room large an airy The location may not suit everyone but it was very convenient for where we needed to be St James s Park Underground station is less than 5 minutes walk away which is very useful This is the third or fourth time we have stayed here and we have always enjoyed it No hotel in London could be described as cheap The only way to sum them up is whether they are good value for money St James Court certainly is if one books early and goes at the right time We think it is worth it for the well appointed rooms and the well trained staff ,129,9,9.6,"[' Leisure trip ', ' Couple ', ' Executive King Room ', ' Stayed 2 nights ']",224 day,51.4986732,-0.13768670000000002,"51.4986732,-0.13768670000000002",City of Westminster
130851,29 31 Gower Street Camden London WC1E 6HG United Kingdom,457,6/1/2017,6.8,Bloomsbury Palace Hotel, United States of America , The room is small as expected However there is neither a chair nor a stool to sit on Only the bed There is no ventilation in the room but they did provide a fan The fan had a 2 hour time limit I d wake up every two hours or so feeling very warm and then turn the fan on again There is no place to put your items when you unpack There are ample electrical connections but they are hard to access Make sure to bring the bulky plug converters that are needed to use US plugs in the British receptacles ,104,2751, Good convenient location WiFi worked well ,8,1,7.9,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 5 nights ']",63 days,51.5207945,-0.1310845,"51.5207945,-0.1310845",London
399018,Passeig de Colom 9 Ciutat Vella 08002 Barcelona Spain,102,4/11/2016,9.6,Hotel The Serras, Germany , Indoor bar a bit under exciting Handling of restaurant reservations a bit uncoordinated this time but would expect this to improve once they ve gotten the hang of it ,31,604, Excellent staff breakfast ,5,11,9.2,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 5 nights ']",479 day,41.3801815,2.180688,"41.3801815,2.180688",Barcelona
392437,Opernring 11 01 Innere Stadt 1010 Vienna Austria,105,8/2/2016,8.9,Das Opernring Hotel, Belgium , stronger wifi,3,1267, Sweet receptionists beautiful room wonderful breakfast with bubbels too and view on the opera good beds walking distance from almost everything,22,25,10.0,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 3 nights ']",366 day,48.202644899999996,16.3671054,"48.202644899999996,16.3671054",Wien
500942,Wagramer Stra e 21 22 Donaustadt 1220 Vienna Austria,144,5/10/2017,8.4,NH Danube City, Italy , very noisy if like me you like to open the windows and room faces the street but really silent with windows closed ,24,1380, proximity to the Vienna International Center nice bar for hanging out nice views from higher floors,17,3,8.8,"[' Business trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 1 night ']",85 days,48.2353789,16.4219737,"48.2353789,16.4219737",Wien
443827,Scarsdale Place Kensington Kensington and Chelsea London W8 5SY United Kingdom,1831,4/4/2016,8.1,Copthorne Tara Hotel London Kensington, United Arab Emirates , Hotel needs an update a bit tired,8,7105, Location and friendly staff,5,3,6.7,"[' Leisure trip ', ' Family with young children ', ' Superior Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",486 day,51.499046,-0.1917073,"51.499046,-0.1917073",London
493386,Via Washington 66 Fiera Milano City 20146 Milan Italy,61,12/25/2015,7.6,Milan Marriott Hotel, Egypt , Just one guy who was usually in the reception and keeps staring at you as if you are a thief ,22,576, cleanliness and order in everything nice smile of the staff,11,3,10.0,"[' Business trip ', ' Group ', ' Queen or Twin Room ', ' Stayed 5 nights ']",587 day,45.4611287,9.1542675,"45.4611287,9.1542675",Milano
103252,207 Boulevard Raspail 14th arr 75014 Paris France,37,8/18/2016,8.2,Mercure Paris Montparnasse Raspail, France , The shower screen was a bit small and there was a slight leak so the bathroom floor got quite wet when we used the shower The room service menu has a very limited selection We would have liked to order something like a sandwich when we arrived but it was not available The breakfast area was a little small when everyone was trying to serve themselves at the buffet On our last day we noticed that one man had to take his breakfast out to the bar area as there was no space in the breakfast room ,99,369, The staff were very friendly and responded very positively to our attempts to speak French The selection of foods on the breakfast buffet was generally excellent and kept being replenished by the staff throughout breakfast time The croissants were lovely The location is good and there were several metro stations and bus stops within easy walking distance so no need for a car There was also a great selection of restaurants locally we were a bit spoilt for choice ,81,1,7.5,"[' Leisure trip ', ' Couple ', ' Standard Room With 2 Zip Beds ', ' Stayed 4 nights ']",350 day,48.8412131,2.3302954,"48.8412131,2.3302954",Paris
10049,1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,1274,1/23/2017,7.7,Grand Royale London Hyde Park, Sweden ,No Negative,0,6539, Greate location Very helpful and ploite staff,8,1,8.8,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",192 day,51.5109945,-0.18634170000000003,"51.5109945,-0.18634170000000003",City of Westminster
354145,K rntnerstra e 18 Eingang Neuer Markt 3 01 Innere Stadt 1010 Vienna Austria,325,7/20/2017,8.6,Austria Trend Hotel Europa Wien, China , if have a more comfortable bed that will be perfect,11,3221, good location good staff comfortable ,7,34,8.8,"[' Leisure trip ', ' Couple ', ' Comfort Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",14 days,48.206210299999995,16.3710387,"48.206210299999995,16.3710387",Wien
331525,Gran Via de les Corts Catalanes 644 Eixample 08007 Barcelona Spain,257,6/16/2016,9.2,Catalonia Passeig de Gr cia 4 Sup, India , The breakfast had no variety from day to day Also there was ongoing construction work either in the hotel or outside which created quite a noise ,28,2116, very efficient hotel staff who were willing to help with all kinds of requests ,16,8,8.3,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 5 nights ']",413 day,41.3901396,2.1696699,"41.3901396,2.1696699",Barcelona
397542,Paseo de Gracia 75 Eixample 08008 Barcelona Spain,132,6/15/2017,9.3,Monument Hotel, Australia ,No Negative,0,849, I took a junior suite The whole service from phone confirmations to parking and washing my car was perfect Kind and flexible I felt very at home here the restaurant Oria is my secret tip for Barcelona Great food great value and knowledgeable staff I stay in lots of Hotels this is one of my favourites Because you will remember it ,63,3,9.2,"[' Leisure trip ', ' Couple ', ' Suite ', ' Stayed 1 night ']",49 days,41.393908200000006,2.1622556,"41.393908200000006,2.1622556",Barcelona
411033,Piet Heinkade 11 Zeeburg 1019 BR Amsterdam Netherlands,338,4/10/2016,8.4,M venpick Hotel Amsterdam City Centre, United Arab Emirates ,No Negative,0,1925, Location,2,16,7.5,"[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",480 day,52.3781016,4.9142508000000005,"52.3781016,4.9142508000000005",Amsterdam
157849,346 348 Edgware Road Westminster Borough London W2 1EA United Kingdom,73,6/25/2017,6.6,Best Western Maitrise Hotel Edgware Road, United States of America , Windowless room was a disappointment It wouldn t have been asuch of a problem if it otherwise resembled the pictures of the standard double rooms but it was tiny and I could hear all of the noises from the coffee shop upstairs including water running through pipes There was an odd locked door in my room as well that had light coming from all sides through the night Not the worst place to sleep but not a place where you could rest and hang out ,87,461,No Positive,0,1,5.8,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",39 days,51.521148,-0.171346,"51.521148,-0.171346",City of Westminster
409044,Piazza Luigi di Savoia 20 Central Station 20124 Milan Italy,264,7/11/2016,8.7,Starhotels Anderson, Netherlands , I ordered a room with a bathtub but water didn t drain at all so I could not take a bath Also I found hair in bathroom was not nice to see ,34,2698, Friendly and kind stuff Cosy room Good wifi connection ,11,8,7.1,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",388 day,45.4852549,9.206950099999998,"45.4852549,9.206950099999998",Milano
302134,Coram Street Camden London WC1N 1HT United Kingdom,709,9/7/2015,8.2,Holiday Inn London Bloomsbury, Bahrain , Nothing except concierge not available to retrieve baggage Waited some time ,13,2995, Nice handy location and shops nearby was useful ,10,3,7.1,"[' Leisure trip ', ' Couple ', ' Standard Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",696 day,51.524124799999996,-0.1258066,"51.524124799999996,-0.1258066",London
63683,160 Rue La Fayette 10th arr 75010 Paris France,161,7/29/2016,8.6,H tel Hor, South Africa , Area around hotel not nice Many beggars and every second person trying to sell stolen phones Not a very clean area ,23,1090, Friendly and helpful staff Close to main train station of Gare du Nord Comfortable room ,17,12,7.1,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night ']",370 day,48.8793427,2.3577745,"48.8793427,2.3577745",Paris
158544,35 Charles Street Mayfair Westminster Borough London W1J 5EB United Kingdom,252,8/20/2016,9.1,The Chesterfield Mayfair, Germany , Asides from having to leave on our last day I would like to mention maybe leaving more toilet roll in a cupboard rather than one in the bathroom My partner had an upset stomach and I had to go and but more due to there not being more available ,51,1166, Upon arriving we were greeted by lovely friendly professional staff We were able to book in for an afternoon tea which we enjoyed immensely The room itself was beautiful and extremely comfortable The staff had no problems giving us directions or recommendations and all were knowledgeable about the area Breakfast was delivered to our room and was delicious Every single thing about our stay was perfect Thank you ,70,1,9.6,"[' Leisure trip ', ' Couple ', ' Classic King Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",348 day,51.507689899999995,-0.14713579999999998,"51.507689899999995,-0.14713579999999998",City of Westminster
364876,Lancaster Terrace Westminster Borough London W2 2TY United Kingdom,365,7/21/2016,8.3,Lancaster London, United Kingdom ,No Negative,0,1463, As it was my partners birthday the hotel surprised us with balloons chocolates champagne on ice and a birthday card It was a really lovely 24 Hr room survive was fantastic too,33,2,9.6,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",378 day,51.5119446,-0.17993900000000002,"51.5119446,-0.17993900000000002",City of Westminster
18258,10 Bina Gardens South Kensington Kensington and Chelsea London SW5 0LA United Kingdom,77,4/19/2017,7.8,The Cranley Hotel, Germany , As the staff and service were so terrible we asked if the hotel had changed hands in the past and it had Which came as no surprise In every aspect you could tell the hotel was trying to save money breakfast was extremely petit my husband was served one tiny bun for breakfast which was supposed to be wholemeal but wasn t The staff were terribly rude no one helped us with the luggage on arrival morning breakfast a young man from the front desk was the only person there in the morning he came to us hands in pockets and was extremely rude telling us are breakfast could not be served as we were too early luckily I had a photo of our breakfast card and the time it was ordered when I said the time he wanted to argue about it we would have been satisfied with beverages and we waited anyway but he took a lot of persuading just to get us some tea The breakfast service was extremely slow as in everyone was waiting one morning to be served no one had breakfast and the whole restaurant was full bathroom had long hairs stuck to the wall we had to ask twice that is should be cleaned The rooms looked cute were very small It s a shame that the people in the hotel with the exception of one foreign lady serving breakfast did her utmost to help were so rude and unhelpful If you do stay here because the location is fantastic have breakfast somewhere else there are lots of nice restaurants nearby and don t expect any British politeness breakfast not worth it ridiculous attitude very few items on the table small jam pots 1 2 per person bad slow service bathroom not clean people at front desk rude and impolite lazy hotel is trying to save money on things breakfast number of towels in bathroom ,324,388, what we liked the picture of the bed on booking com the one and only person who took any care about people in the breakfast room ,28,6,3.8,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ']",106 day,51.4916378,-0.18328329999999998,"51.4916378,-0.18328329999999998",London
416282,Plaza Paisos Catalans s n Sants Montju c 08014 Barcelona Spain,420,8/2/2016,8.6,Barcel Sants, United Kingdom , Access was through a temporary building site The overhead shower invariably flooded the bathroom floor Finally I really couldn t see the point of the space craft theme pervading the decor of the hotel It seemed a somewhat infantile notion in a business environment or maybe I m just a grumpy old man ,55,4379, Clean and the air conditioning worked well Excellent access to rail and metro ,15,11,7.5,"[' Leisure trip ', ' Couple ', ' Deluxe Double or Twin Room ', ' Stayed 1 night ']",366 day,41.3798964,2.1412432999999997,"41.3798964,2.1412432999999997",Barcelona
99553,20 rue du Sommerard 5th arr 75005 Paris France,28,10/24/2015,8.0,Mercure Paris Notre Dame Saint Germain des Pr s, Australia , Hotel had lost our room reservation even though I had a confirmed booking made approx 12weeks prior to arrival Selection of toiletries in bathroom was very poor Soap shampoo gadget in shower almost impossible to operate Lift was not working no explation given and did not look like it would be functioning any time soon ,57,268, We like the location and used to enjoy the ambience of the hotel However this seems to have changed with the change in ownership and not for the better Breakfast service is still good ,36,6,4.6,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",649 day,48.8503074,2.3450612,"48.8503074,2.3450612",Paris
237558,7 Pepys Street City of London London EC3N 4AF United Kingdom,1936,5/14/2017,8.7,DoubleTree by Hilton Hotel London Tower of London, United Kingdom , Room was very small no bath breakfast wasn t nice was cold ,14,7491, Sky lounge amazing drinks amazing views ,8,2,6.7,"[' Family with young children ', ' King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",81 days,51.5108412,-0.0780581,"51.5108412,-0.0780581",City of London
126810,27 33 Harrington Gardens Kensington and Chelsea London SW7 4JX United Kingdom,143,6/11/2017,8.4,Bentley London, Saudi Arabia , cleanness old furniture no smiling from most of its staff very bad TV Flowing of water in chair of bathroom is very weak non lovely smell,27,486, nothing as 5 stars hotel,6,21,4.2,"[' Business trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 2 nights ']",53 days,51.492814700000004,-0.1841753,"51.492814700000004,-0.1841753",London
148976,32 rue des Saints P res 7th arr 75007 Paris France,106,6/21/2016,9.0,Acad mie H tel Saint Germain, United States of America ,No Negative,0,855, Friendly attentive staff Academie s warm decor and a very comfortable bed added up to a pleasant four day stay ,22,1,10.0,"[' Leisure trip ', ' Solo traveler ', ' Standard Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",408 day,48.855263,2.3305901,"48.855263,2.3305901",Paris
234439,7 9 High Street Kensington Kensington and Chelsea London W8 5NP United Kingdom,98,7/5/2016,7.4,Seraphine Kensington Gardens Hotel, United Kingdom , The breakfast room was very compact and I can get better croissants at my local petrol station ,19,597, The bed was excellent ,6,3,7.5,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ']",394 day,51.5021027,-0.187901,"51.5021027,-0.187901",London
266218,Albert Cuypstraat 2 6 Oud Zuid 1072 CT Amsterdam Netherlands,181,10/17/2016,8.8,Sir Albert Hotel, United Kingdom ,No Negative,0,1068, Perhaps a little more light would be helpful for us older clients,13,1,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",290 day,52.3544507,4.8875036,"52.3544507,4.8875036",Amsterdam
410553,Piccadilly Westminster Borough London W1J 7BX United Kingdom,91,8/9/2016,8.1,Sheraton Grand London Park Lane, United Kingdom , Nothing exceptional air con needed to be off at night as a little chilly in the room ,19,376, The location was suberb for us and what we wanted to do All the staff were polite courteous and without exception could not do enough for us ,29,5,10.0,"[' Leisure trip ', ' Couple ', ' Classic Room ', ' Stayed 1 night ']",359 day,51.5092876,-0.13700620000000002,"51.5092876,-0.13700620000000002",City of Westminster
429323,Richmond Way Hammersmith and Fulham London W14 0AX United Kingdom,509,2/16/2017,8.4,K West Hotel Spa, United Kingdom , Parking was way too expensive The staff was not trained properly nothing was explained clearly SPA was extra money and it was not worth it at all You basically have to pay for everything and get nothing in return I would not recommened it especiall if you re couple going to get away for a little while In addition to this it was so intimidating everyone is staring at you constantly even the staff ,76,1560,No Positive,0,1,5.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ']",168 day,51.5013149,-0.21744589999999997,"51.5013149,-0.21744589999999997",London
54110,15 Cromwell Place Kensington and Chelsea London SW7 2LA United Kingdom,174,4/10/2016,8.6,The Pelham Starhotels Collezione, United Kingdom , broken lift it happens so no big deal really Disappointing breakfast,12,833, Lounge and library areas Night staff really helpful and friendly with my late check in ,17,3,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",480 day,51.4943935,-0.17501689999999998,"51.4943935,-0.17501689999999998",London
353515,K rntner Stra e 22 01 Innere Stadt 1010 Vienna Austria,150,8/16/2015,8.3,Hotel Ambassador, Switzerland ,No Negative,0,1279, Great location close to all the tourist attractions Classic older style hotel very comfortable good size rooms Good air conditioning ,22,14,9.2,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 3 nights ']",718 day,48.2057193,16.371087799999998,"48.2057193,16.371087799999998",Wien
275506,Auerspergstra e 9 08 Josefstadt 1080 Vienna Austria,207,7/1/2016,8.4,The Levante Parliament A Design Hotel, United States of America ,No Negative,0,1958, The Staff was very friendly and helpful Would recommend the Hotel ,13,1,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",398 day,48.208351799999996,16.354532,"48.208351799999996,16.354532",Wien
219283,6 Holywell Lane Hackney London EC2A 3ET United Kingdom,500,6/7/2017,9.1,citizenM London Shoreditch, South Africa , Beds are a bit impractical to get in and out of,12,2113, Bed was comfy and I had a great nights rest Focused on the necessaries like good mattress bedding and pillows Large bath towels Uselful technology and free movies Hot shower ,32,10,8.3,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ']",57 days,51.5241373,-0.07869830000000001,"51.5241373,-0.07869830000000001",London
44886,130 135 Minories City of London London EC3N 1NU United Kingdom,465,3/9/2017,8.9,The Chamberlain, United Kingdom ,No Negative,0,2543, we booked for 2 nights when i mentioned it was for my wifes birthday we were upgraded to a beautiful room with massive roof terrace there were birthday messages and a slice of cake the staff were delightful very helpful and ver very friendly we highly reccomend,48,1,9.6,"[' Couple ', ' Luxury Double Room ', ' Stayed 2 nights ']",147 day,51.51224570000001,-0.0757326,"51.51224570000001,-0.0757326",City of London
330904,Gran Via Corts Catalanes 656 Eixample 08010 Barcelona Spain,218,11/22/2016,8.5,Acta Atrium Palace, Canada , Biggest issue for me was the noise a boy s ball court in the back kid s yelling from noon till nine at night noise from next room not very sound proof and the slamming of doors by guests and cleaning staff ,44,1933, Bed and linens comfortable Staff were responsive and helpful One exception was housekeeping noisy Very warm in the room air conditioning not working ,25,2,7.5,"[' Leisure trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 2 nights ']",254 day,41.390913,2.1706981,"41.390913,2.1706981",Barcelona
73917,18 21 Charterhouse Square Islington London EC1M 6AH United Kingdom,431,11/20/2015,8.7,Malmaison London, United Kingdom ,No Negative,0,1374, The bed most comfortable I have ever slept in in a hotel lovely quiet room classic Malmaison style ,20,9,7.5,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",622 day,51.520943,-0.10045810000000001,"51.520943,-0.10045810000000001",London
270039,Angli 60 Sarri St Gervasi 08017 Barcelona Spain,50,7/21/2017,8.3,Eurostars Angli, Slovakia ,No Negative,0,847, The breakfast was great The bathroom was very small but the whole room was very comfortable The bed was very nice and big We had a standard room Perfect cleaning of room The pool was small We saw it but we didn t use it Close to metro station ,51,1,9.6,"[' Leisure trip ', ' Couple ', ' Economy Double Room ', ' Stayed 3 nights ']",13 days,41.4031654,2.1231637,"41.4031654,2.1231637",Barcelona
452988,Slotermeerlaan 80 Geuzenveld Slotermeer 1064 HD Amsterdam Netherlands,407,5/17/2017,7.3,Best Western Plus Hotel Blue Square, Australia ,No Negative,0,3161, Not to close to centre but easy to get there great,12,1,8.3,"[' Leisure trip ', ' Solo traveler ', ' Executive Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",78 days,52.378682299999994,4.8207832999999995,"52.378682299999994,4.8207832999999995",Amsterdam
478947,Via Laietana 30 Ciutat Vella 08003 Barcelona Spain,153,7/16/2017,8.9,Grand Hotel Central, United Kingdom ,No Negative,0,988, Fabulous location and wonderful views from the Skybar Very good service and accommdating staff ,16,1,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",18 days,41.384969500000004,2.1776631,"41.384969500000004,2.1776631",Barcelona
456977,Spuistraat 288 292 Amsterdam City Center 1012 VX Amsterdam Netherlands,407,5/14/2016,8.2,NH City Centre Amsterdam, France , Very expensive for what we got The room was big but very minimalist a complete lack of comforts They even tried to make us take a room with 2 singles after we had requested a double ,38,3417, Location was good,4,7,6.7,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",446 day,52.3697554,4.8887815,"52.3697554,4.8887815",Amsterdam
146710,31 Great Cumberland Place Westminster Borough London W1H 7TA United Kingdom,365,9/27/2016,8.1,The Marble Arch London, Qatar , This hotel is like a trap the reception are well trained to give u the worst room so you show your discomfort with it so they can advise you they can shift u to Montcalm hotel across the street but of course for higher price Zero customer service ,50,1567, Location is great,4,2,3.8,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room ', ' Stayed 17 nights ', ' Submitted from a mobile device ']",310 day,51.5151247,-0.1600656,"51.5151247,-0.1600656",City of Westminster
